"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"952","~year2 + sex","~time + sex","~year2 * season2 + sex","Phi(~year2 + sex)p(~time + sex)f(~year2 * season2 + sex)",57,17702.9149489051,263.212210248123,0,812.7391
"24","~1","~season2","~year2 * season2","Phi(~1)p(~season2)f(~year2 * season2)",24,17702.9483369467,263.245598289715,0,880.42152
"532","~year2","~year2 * season2","~year2 * season2 + sex","Phi(~year2)p(~year2 * season2)f(~year2 * season2 + sex)",55,17703.7163404255,264.013601768547,0,817.67894
"37","~1","~season2 + sex","~year2 * season2","Phi(~1)p(~season2 + sex)f(~year2 * season2)",25,17704.0835662651,264.380827608074,0,879.52703
"1067","~year2 * sex","~year2","~year2 + season2","Phi(~year2 * sex)p(~year2)f(~year2 + season2)",45,17705.3765454545,265.67380679756,0,839.95664
"926","~year2 + sex","~sex","~year2 + season2 * sex","Phi(~year2 + sex)p(~sex)f(~year2 + season2 * sex)",28,17708.4935990353,268.790860378289,0,877.83927
"1086","~year2 * sex","~year2 * season2","~year2 + season2 + sex","Phi(~year2 * sex)p(~year2 * season2)f(~year2 + season2 + sex)",57,17709.3769489051,269.674210248126,0,819.20065
"507","~year2","~time","~year2 * season2 + sex","Phi(~year2)p(~time)f(~year2 * season2 + sex)",55,17709.9033404255,270.200601768545,0,823.86617
"970","~year2 + sex","~year2 * season2","~year2 + season2 + sex","Phi(~year2 + sex)p(~year2 * season2)f(~year2 + season2 + sex)",47,17712.0341018799,272.331363222944,0,842.50121
"982","~year2 + sex","~year2 * season2 + sex","~year2 + season2","Phi(~year2 + sex)p(~year2 * season2 + sex)f(~year2 + season2)",47,17712.0901018799,272.387363222944,0,842.55645
"1087","~year2 * sex","~year2 * season2","~year2 + season2 * sex","Phi(~year2 * sex)p(~year2 * season2)f(~year2 + season2 * sex)",58,17712.5851417706,272.882403113625,0,820.33795
"908","~year2 + sex","~season2 + sex","~season2 * sex","Phi(~year2 + sex)p(~season2 + sex)f(~season2 * sex)",19,17714.9885027059,275.285764048964,0,902.59454
"895","~year2 + sex","~season2","~season2 * sex","Phi(~year2 + sex)p(~season2)f(~season2 * sex)",18,17715.2315906222,275.528851965199,0,904.86086
"540","~year2","~year2 * season2 + sex","~year2 + season2 + sex","Phi(~year2)p(~year2 * season2 + sex)f(~year2 + season2 + sex)",47,17715.3401018799,275.637363222944,0,845.80682
"1099","~year2 * sex","~year2 * season2 + sex","~year2 + season2 * sex","Phi(~year2 * sex)p(~year2 * season2 + sex)f(~year2 + season2 * sex)",59,17717.0125952526,277.309856595602,0,822.69285
"506","~year2","~time","~year2 * season2","Phi(~year2)p(~time)f(~year2 * season2)",54,17717.171922516,277.469183858964,0,833.20218
"531","~year2","~year2 * season2","~year2 * season2","Phi(~year2)p(~year2 * season2)f(~year2 * season2)",54,17717.173922516,277.471183858965,0,833.20404
"1050","~year2 * sex","~time","~year2 * season2","Phi(~year2 * sex)p(~time)f(~year2 * season2)",65,17719.3258536585,279.623115001548,0,812.54457
"632","~year2 + season2","~year2 * season2","~season2","Phi(~year2 + season2)p(~year2 * season2)f(~season2)",36,17724.7660770626,285.063338405569,0,877.79589
"529","~year2","~year2 * season2","~year2 + season2 + sex","Phi(~year2)p(~year2 * season2)f(~year2 + season2 + sex)",46,17725.6027002122,285.899961555202,0,858.12742
